date/time,PINALat,GILLlat,ClosestStation,Elevation [deg],ELFINeflux [erg/cm^2/s],ELFINenergy [keV]
2022-09-04/04:22:25,47.5741,47.511,pina,9.54533,0.113938,0.857
2022-09-04/04:22:26,47.4645,47.511,pina,9.37238,0.103682,0.839
2022-09-04/04:22:27,47.4645,47.3541,pina,9.37238,0.103682,0.839
2022-09-04/04:22:28,47.3461,47.3541,pina,9.16506,0.115734,0.857
2022-09-04/04:22:29,47.3461,47.3541,pina,9.16506,0.0860318,0.839
2022-09-04/04:22:30,47.218,47.3541,pina,9.11649,0.119842,0.857
2022-09-04/04:22:31,47.218,47.1673,pina,9.11649,0.119842,0.857
2022-09-04/04:22:32,47.0789,47.1673,pina,8.81965,0.0860003,0.839
2022-09-04/04:22:33,47.0789,46.9253,pina,8.81965,0.0860003,0.839
2022-09-04/04:22:34,46.9275,46.9253,pina,8.489,0.0806949,0.839
2022-09-04/04:22:35,46.918,46.9253,pina,8.62556,0.045781,0.756
2022-09-04/04:22:36,46.918,46.9253,pina,8.62556,0.045781,0.756
2022-09-04/04:22:37,46.749,46.7131,pina,8.24017,-1,-1
2022-09-04/04:22:38,46.749,46.7131,pina,8.24017,-1,-1
2022-09-04/04:22:39,46.7327,46.7131,pina,8.34163,-1,-1
2022-09-04/04:22:40,46.5429,46.7131,pina,7.90193,-1,-1
2022-09-04/04:22:41,46.5429,46.4649,pina,7.90193,-1,-1
2022-09-04/04:22:42,46.5188,46.4649,pina,7.96837,-1,-1
2022-09-04/04:22:43,46.3042,46.4649,pina,7.47487,-1,-1
2022-09-04/04:22:44,46.271,46.2254,pina,7.50644,0.0995981,0.839
2022-09-04/04:22:45,46.271,46.2254,pina,7.50644,0.0995981,0.839
2022-09-04/04:22:46,46.2342,46.2254,pina,7.52403,0.0867635,0.839
2022-09-04/04:22:47,46.2342,46.2254,pina,7.52403,0.133913,0.857
2022-09-04/04:22:48,45.9826,45.9499,pina,6.95662,-1,-1
2022-09-04/04:22:49,45.9826,45.9499,pina,6.95662,-1,-1
2022-09-04/04:22:50,45.9343,45.9499,pina,6.9396,-1,-1
2022-09-04/04:22:51,45.8816,45.9499,pina,6.90866,-1,-1
2022-09-04/04:22:52,45.8244,45.7024,pina,6.86382,-1,-1
2022-09-04/04:22:53,45.7625,45.7024,pina,6.80508,-1,-1
2022-09-04/04:22:54,45.6956,45.636,pina,6.73245,-1,-1
2022-09-04/04:22:55,45.5154,45.636,pina,6.20325,-1,-1
2022-09-04/04:22:56,45.5154,45.636,pina,6.20325,-1,-1
2022-09-04/04:22:57,45.4426,45.3951,gill,NaN,0.0539667,0.823
2022-09-04/04:22:58,45.3641,45.3951,gill,NaN,0.0539667,0.823
